Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Crazy Like a Fox,5-May-06,Sky Island,PG-13,"$9,376 ","1,431",Comedy
The Proposition,5-May-06,First Look,R,"$1,903,434 ","290,600",Drama
D'Lucky Ones,5-May-06,ABS-CBN,Not Rated,"$59,680 ","9,111",Drama
One Last Thing...,5-May-06,Magnolia Pictures,R,"$13,334 ","2,035",Drama
An American Haunting,5-May-06,Freestyle Releasing,PG-13,"$16,298,046 ","2,488,251",Horror
Russian Dolls,10-May-06,IFC First Take,Not Rated,"$326,095 ","49,785",Drama
Poseidon,12-May-06,Warner Bros.,PG-13,"$60,674,817 ","9,263,330",Adventure
Keeping Up with the Steins,12-May-06,Miramax,PG-13,"$4,339,241 ","662,479",Comedy
Goal! The Dream Begins,12-May-06,Walt Disney,PG,"$4,283,255 ","653,932",Drama
Mendy - A Question of Faith,12-May-06,Andes Film Company,Not Rated,"$7,123 ","1,087",Drama
Dead Man's Shoes,12-May-06,Magnolia Pictures,Not Rated,"$6,408 ",978,Horror
Over the Hedge,19-May-06,Paramount Pictures,PG,"$155,019,340 ","23,667,074",Adventure
The King,19-May-06,ThinkFilm,R,"$282,183 ","43,081",Drama
Twelve and Holding,19-May-06,IFC Films,R,"$96,464 ","14,727",Drama
Lemming,19-May-06,Strand,Not Rated,"$81,698 ","12,472",Drama
Mouth to Mouth,19-May-06,Artistic License,Not Rated,"$2,150 ",328,Drama
